83.0,85.0,200.0,134.0,62.5,68.5,67.9,71.7,-2.5,1.1,12.6,15.3,30.9,35.9,51.2,51.7,20.0,19.5,0.415,0.337,17.4,16.2,70.4,70.6,51.1,46.5,6.4,6.3,22.4,27.1,2.2,3.7,5.8,5.7,17.2,19.6
280.0,222.0,180.0,161.0,66.2,73.8,72.5,69.5,3.2,-2.7,14.1,12.1,35.9,36.4,47.0,47.8,27.9,19.8,0.294,0.3,14.5,15.5,69.3,72.2,48.3,45.9,10.3,7.1,23.0,25.6,3.5,3.8,8.6,7.1,20.1,21.8
58.0,261.0,100.0,246.0,74.0,69.5,76.9,66.3,8.9,-5.5,14.6,11.3,40.0,35.2,51.9,47.9,24.0,24.0,0.332,0.391,15.9,17.8,68.0,71.8,45.8,51.3,8.2,7.7,28.1,25.3,3.4,4.0,4.7,4.7,17.8,14.1
320.0,26.0,278.0,53.0,68.2,92.2,69.4,85.6,-7.8,13.2,8.9,17.3,36.5,34.9,44.8,57.8,28.9,24.1,0.476,0.31,16.6,14.8,77.2,72.5,52.2,50.2,9.9,7.2,22.9,25.2,3.7,3.5,4.6,8.5,20.8,19.6
270.0,7.0,299.0,1.0,73.8,102.2,73.8,96.9,-7.7,22.4,13.0,23.8,32.8,40.8,49.0,64.0,28.1,26.8,0.341,0.295,16.4,14.1,81.4,74.5,58.9,46.3,9.3,7.9,20.2,30.6,1.9,6.2,5.3,6.5,18.6,16.4
119.0,274.0,177.0,227.0,74.2,72.2,74.0,71.5,0.1,1.1,13.3,16.1,37.4,38.5,51.4,50.4,24.4,25.6,0.315,0.367,18.9,19.2,73.9,70.5,48.8,47.6,8.2,8.3,26.9,26.1,2.1,3.6,5.9,4.9,18.9,19.5
293.0,84.0,297.0,105.0,75.0,87.0,77.4,72.3,-11.1,5.0,13.3,12.4,33.4,34.4,50.7,53.1,28.0,27.4,0.424,0.353,18.7,17.7,88.6,67.3,54.3,48.5,8.8,8.0,20.7,24.1,3.3,1.7,7.1,5.0,22.1,20.4
236.0,269.0,165.0,269.0,90.5,87.5,85.1,77.6,1.8,-2.4,11.9,12.9,35.9,36.2,51.4,49.7,23.8,23.4,0.298,0.344,11.5,15.0,83.3,80.0,52.0,52.2,8.7,8.2,23.7,23.4,2.3,2.5,5.1,4.6,18.7,24.9
158.0,161.0,218.0,234.0,80.2,81.8,75.8,75.9,-2.8,-5.3,12.2,13.8,38.1,38.1,48.6,48.6,33.9,32.9,0.318,0.339,16.3,17.6,78.6,81.2,51.7,55.0,12.1,11.0,23.0,22.9,3.2,2.4,6.1,5.9,21.5,20.6
287.0,74.0,332.0,112.0,71.0,79.5,64.6,76.9,-19.0,3.2,13.4,16.0,37.7,36.1,42.2,52.3,33.1,23.4,0.251,0.273,15.6,14.4,83.6,73.7,57.7,47.6,13.3,7.8,21.7,25.1,1.7,2.5,5.4,6.6,19.4,20.8
117.0,258.0,149.0,314.0,67.8,66.8,79.6,65.0,10.0,-4.6,13.0,11.5,41.7,35.1,49.8,48.4,38.9,25.8,0.312,0.417,14.1,21.1,69.6,69.6,47.2,47.5,13.2,8.1,24.8,24.8,4.0,4.8,5.8,6.3,18.6,20.6
330.0,286.0,344.0,212.0,70.5,84.0,72.7,67.4,-12.4,-2.1,12.1,11.4,34.1,35.6,45.8,47.1,27.4,28.1,0.39,0.327,15.8,16.5,85.1,69.5,57.1,50.2,10.0,9.8,20.0,23.6,2.4,4.1,5.2,6.9,24.5,17.8
325.0,266.0,341.0,231.0,64.0,75.0,63.5,71.1,-15.9,-2.8,10.5,13.3,33.4,35.6,44.4,50.5,20.2,17.2,0.33,0.399,14.8,17.7,79.4,73.9,54.5,48.5,7.4,5.3,24.1,26.8,4.0,3.6,5.4,4.1,18.4,16.4
333.0,289.0,320.0,322.0,68.5,77.0,63.4,70.2,-17.2,-7.6,12.5,15.8,30.9,30.5,45.1,51.7,24.2,23.4,0.224,0.336,16.1,17.9,80.5,77.9,58.5,58.4,8.5,7.6,19.6,20.1,2.4,4.1,6.0,5.9,21.8,20.9
